20,22,108
21,13,179
20,13,198
13,14,163
13,15,251
13,18,159
13,19,307
14,15,140
14,18,199
14,17,92
14,28,376
14,26,249
15,17,230
15,16,193
15,26,296
17,26,115
17,27,89
17,28,238
17,18,309
18,21,257
18,19,160
18,28,231
18,35,158
18,36,127
19,36,228
36,37,172
36,35,128
28,35,425
28,34,162
28,33,121
28,27,199
27,33,108
27,29,221
1,24,156
1,25,212
1,26,93
1,27,136
1,29,85
1,30,243
1,60,461
1,61,489
25,16,180
25,26,138
25,24,217
29,33,125
29,30,185
33,34,178
33,30,256
34,31,206
34,35,60
35,37,161
35,38,210
35,39,94
34,39,66
24,61,363
30,60,197
30,57,199
30,31,254
31,57,183
31,56,110
31,55,108
31,39,127
31,40,261
39,40,143
38,41,233
61,60,90
60,57,227
60,58,282
60,59,403
57,56,71
57,58,147
56,55,90
56,58,158
58,55,146
58,54,154
58,59,225
55,40,170
55,54,125
40,54,209
40,41,217
59,54,243
59,50,272
54,53,147
54,50,295
41,42,154
53,41,181
53,42,235
53,52,236
53,51,199
53,50,274
50,51,149
50,48,258
50,49,265
51,52,102
52,42,141
52,43,157
42,43,192
43,78,145
52,78,215
48,50,238
48,51,192
48,52,233
48,43,259
48,78,148
48,82,222
48,47,212
48,46,214
48,49,229
49,46,203
78,82,117
46,47,151
47,82,123
47,45,128
82,45,193
82,44,570
46,45,279
46,44,639
82,45,262
45,44,346
